
# ============================
# 1. GENERAL / COMMON SYMPTOMS
# ============================
speech difficulty|slurred speech,"Could be stroke symptom.","Seek emergency help.",1
vision loss,"Possible serious condition.","Seek emergency care.",1

# ============================
# 6. SKIN / DERMATOLOGY
# ============================
rash|skin rash,"Common in allergy or irritation.","Avoid scratching.",0
itchy skin|pruritus,"Often allergy or dryness.","Use moisturizer.",0
dry skin,"Often weather-related.","Moisturize regularly.",0
oily skin,"Common skin type.","Clean gently.",0
acne|pimples,"Common skin issue.","Keep skin clean.",0
hives,"Allergic skin reaction.","Avoid triggers.",1
eczema,"Chronic dry skin patches.","Moisturize frequently.",0
psoriasis,"Scaly skin condition.","Moisturize and avoid irritants.",0
skin redness,"Often irritation.","Avoid hot water.",0
sunburn,"Caused by UV exposure.","Apply cool aloe.",0
bruising easily,"May indicate fragility.","Avoid bumps.",0
skin peeling,"Often dryness or sunburn.","Moisturize and avoid heat.",0
swollen skin,"May be allergy or injury.","Apply cool compress.",0

# ============================
# 7. MUSCULOSKELETAL
# ============================
back pain,"Often from strain.","Use warm compress.",0
lower back pain,"Posture or strain.","Avoid heavy lifting.",0
neck pain|stiff neck,"Often muscle tension.","Stretch gently.",0
shoulder pain,"May be overuse.","Rest joint.",0
knee pain,"Often strain or injury.","Avoid excessive bending.",0
joint pain,"Common in strain or arthritis.","Rest and avoid heavy load.",0
swollen joints,"May be inflammation.","Apply cold pack.",0
muscle cramps,"Often from dehydration.","Hydrate and stretch.",0
leg cramps,"Common at night.","Stretch and drink fluids.",0
arm pain,"May be muscle strain.","Rest arm.",0
foot pain,"Often strain or tight shoes.","Rest and elevate.",0
wrist pain,"Often overuse.","Rest wrist.",0

# ============================
# 8. URINARY & KIDNEY
# ============================
burning urination|pain while urinating,"Common UTI symptom.","Drink water.",0
frequent urination,"Often UTI or high fluids.","Stay hydrated.",0
dark urine,"Often dehydration.","Drink more fluids.",0
yellow urine,"Common sign of dehydration.","Increase water intake.",0
bloody urine,"Possible infection or stones.","Seek urgent care.",1
lower back kidney pain,"Possible kidney issue.","Seek evaluation.",1
urine odor changes,"Often dehydration.","Hydrate well.",0
incontinence,"Loss of bladder control.","Seek medical check.",0

# ============================
# 9. CARDIAC & CIRCULATION
# ============================
chest pain,"Can indicate heart issue.","Seek emergency care.",1
heart flutter,"May be stress or dehydration.","Rest and hydrate.",0
palpitations|rapid heartbeat,"May be anxiety or arrhythmia.","Avoid caffeine.",1
high blood pressure,"Often no symptoms.","Monitor regularly.",1
low blood pressure,"May cause dizziness.","Hydrate and rest.",0
blue lips,"Low oxygen levels.","Seek emergency care.",1
swelling feet|leg swelling,"Can be circulation-related.","Elevate legs.",0
cold hands|cold feet,"May be low circulation.","Warm gently.",0

# ============================
# 10. ENDOCRINE / HORMONAL
# ============================
hot flashes,"Often hormonal.","Stay cool and hydrated.",0
excessive hunger,"May be sugar-related.","Eat balanced meals.",0
excessive thirst,"May be dehydration or sugar imbalance.","Hydrate.",1
hair loss,"May be hormonal or stress-related.","Eat balanced diet.",0

# ============================
# 11. EYE-RELATED
# ============================
itchy eyes,"Often allergy-related.","Avoid rubbing.",0
watery eyes,"May be irritation or allergy.","Avoid allergens.",0
dry eyes,"Often screen-related.","Blink more, use drops.",0
red eye|eye redness,"Common irritation.","Avoid rubbing.",0
eye pain,"Can be serious.","Seek medical evaluation.",1
blurred vision,"Often eye strain.","Rest eyes.",1
floaters,"Common but monitor.","Seek check if sudden.",0
light sensitivity|photophobia,"Common with migraine.","Rest in dim light.",0

# ============================
# 12. INFECTIOUS / IMMUNE
# ============================
flu symptoms,"Common viral illness.","Rest and fluids.",0
viral infection signs,"General viral symptoms.","Hydrate and rest.",0
swollen lymph nodes,"Often sign of infection.","Rest and hydrate.",0
hand-foot-mouth symptoms,"Common viral issue.","Maintain hygiene.",0
pink eye|conjunctivitis,"Contagious eye infection.","Avoid touching eyes.",0

# ============================
# 13. MENTAL HEALTH
# ============================
anxiety,"May cause fast heartbeat.","Practice slow breathing.",0
panic attack,"Sudden anxiety episode.","Slow deep breaths.",0
stress symptoms,"Common in daily life.","Take short breaks.",0
insomnia|difficulty sleeping,"Common in stress.","Avoid screens before bed.",0
irritability,"Can be stress-related.","Rest and relax.",0
low mood,"Common emotional symptom.","Talk to someone you trust.",0

# ============================
# 14. EMERGENCY SYMPTOMS
# ============================
severe chest pain,"May indicate heart attack.","Seek emergency care.",1
severe headache,"Can be serious.","Seek urgent evaluation.",1
vomiting blood,"Possible internal bleeding.","Emergency care needed.",1
coughing blood,"May indicate lung issue.","Seek emergency help.",1
seizure,"Electrical brain event.","Seek emergency care.",1
unconscious|passed out,"Serious medical event.","Emergency help needed.",1
severe bleeding,"Dangerous blood loss.","Apply pressure, seek help.",1
vision loss sudden,"Possible stroke.","Seek emergency care.",1
inability to breathe,"Life-threatening.","Emergency immediately.",1

# ============================
# 15. MISCELLANEOUS
# ============================
itchy scalp,"Often dandruff.","Use mild shampoo.",0
dry scalp,"Often weather-related.","Moisturize scalp.",0
cracked heels,"Common dryness.","Apply foot cream.",0
swollen face,"May be allergy.","Seek help if breathing affected.",1
burning skin sensation,"May be nerve irritation.","Avoid heat exposure.",0
high temperature,"May indicate fever.","Cool down and hydrate.",0
low energy,"Common general symptom.","Rest.",0
restlessness,"Often stress-related.","Practice relaxation.",0
sensitive skin,"Irritates easily.","Use gentle products.",0
